Store,Demand,Acceptance constraint
S0,0,1000
S1,377.6032,83
S2,157.0348,51
S3,231.5846,64
S4,18.4834,43
S5,263.6946,76
S6,263.9988,57
S7,510.0628,118
S8,404.1336,122
S9,305.0736,65
S10,230.3314,43
S11,289.6608,74
S12,227.0632,55
S13,322.6028,101
S14,103.2694,100
S15,40.1726,100
S16,107.328,100
S17,118.7706,100
S18,26.2652,100
