SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-1706,28.62618056,77.32396389
I-DL-DLHI-ENB-4116,28.62648,77.289
I-DL-DLHI-ENB-1525,28.62659167,77.28223333
I-DL-DLHI-ENB-4128,28.62667,77.29252
I-DL-DLHI-ENB-4126,28.62706667,77.27768611
I-DL-DLHI-ENB-9700,28.62715,77.32559
I-DL-DLHI-ENB-6929,28.62753889,77.27961944
I-DL-DLHI-ENB-6979,28.627725,77.29469444
I-DL-DLHI-ENB-1594,28.62788333,77.30819167
I-DL-DLHI-ENB-9271,28.62858889,77.30222917
I-DL-DLHI-ENB-3435,28.62865278,77.31269722
I-DL-DLHI-ENB-9070,28.62869444,77.27336111
I-DL-DLHI-ENB-9736,28.62875278,77.29234444
I-DL-DLHI-ENB-1854,28.62887222,77.27728056
I-DL-DLHI-ENB-5119,28.62896111,77.29833333
I-DL-DLHI-ENB-2497,28.62976111,77.27906389
I-DL-DLHI-ENB-6930,28.63019444,77.27355833
I-DL-DLHI-ENB-6962,28.63036111,77.28584917
I-DL-DLHI-ENB-1567,28.63038333,77.29272222
I-DL-DLHI-ENB-6974,28.63061667,77.3022375
I-DL-DLHI-ENB-3120,28.63098333,77.31992222
I-DL-DLHI-ENB-2613,28.63123611,77.28029167
I-DL-DLHI-ENB-3124,28.63145,77.28416722
I-DL-DLHI-ENB-0567,28.63151111,77.29002778
I-DL-DLHI-ENB-4187,28.63158333,77.27240556
I-DL-DLHI-ENB-9690,28.63189722,77.28586028
I-DL-DLHI-ENB-8854,28.6319,77.29551389
I-DL-DLHI-ENB-3131,28.63261667,77.29575278
I-DL-DLHI-ENB-6572,28.63276667,77.30826111
I-DL-DLHI-ENB-8940,28.63302222,77.319525
I-DL-DLHI-ENB-9280,28.63318056,77.28389333
I-DL-DLHI-ENB-1848,28.63330833,77.27199722
I-DL-DLHI-ENB-9279,28.63341611,77.27411111
I-DL-DLHI-ENB-6578,28.63361917,77.27768056
I-DL-DLHI-ENB-3625,28.6336275,77.30274
I-DL-DLHI-ENB-8856,28.63399444,77.320475
I-DL-DLHI-ENB-1563,28.63413722,77.31786417
I-DL-DLHI-ENB-6977,28.63416056,77.28228056
I-DL-DLHI-ENB-3125,28.63485694,77.31703361
I-DL-DLHI-ENB-1570,28.63521028,77.29701944
I-DL-DLHI-ENB-1865,28.63524611,77.31131944
I-DL-DLHI-ENB-1862,28.63540556,77.28558194
I-DL-DLHI-ENB-6509,28.63583333,77.30353611
I-DL-DLHI-ENB-1571,28.63593972,77.29254444
I-DL-DLHI-ENB-9294,28.63620833,77.30550556
I-DL-DLHI-ENB-3353,28.63683889,77.28681389
I-DL-DLHI-ENB-6976,28.63705,77.27505833
I-DL-DLHI-ENB-1561,28.63750556,77.30678056
I-DL-DLHI-ENB-1553,28.63866389,77.28706111
I-DL-DLHI-ENB-9755,28.63919444,77.2791
I-DL-DLHI-ENB-3632,28.63929444,77.27576389
I-DL-DLHI-ENB-3638,28.63965833,77.2918
I-DL-DLHI-ENB-9745,28.64046111,77.30881389
I-DL-DLHI-ENB-6957,28.64095278,77.28385861
I-DL-DLHI-ENB-1531,28.64136111,77.28612778
I-DL-DLHI-ENB-3634,28.64229722,77.29679444
I-DL-DLHI-ENB-5942,28.64284167,77.27644444
I-DL-DLHI-ENB-1592,28.64426389,77.31415278
I-DL-DLHI-ENB-6956,28.64455,77.27293333
I-DL-DLHI-ENB-0552,28.64458333,77.28464306
I-DL-DLHI-ENB-1576,28.64466111,77.276375
I-DL-DLHI-ENB-8725,28.64544722,77.27812222
I-DL-DLHI-ENB-1590,28.64627222,77.30521944
I-DL-DLHI-ENB-1856,28.646625,77.29182222
I-DL-DLHI-ENB-6955,28.64670833,77.29440556
I-DL-GZBD-ENB-0127,28.64676389,77.31655833
I-DL-DLHI-ENB-3491,28.646875,77.28784722
I-DL-DLHI-ENB-1363,28.64709167,77.27898889
I-DL-DLHI-ENB-1577,28.64710556,77.28303889
I-DL-DLHI-ENB-8730,28.64769167,77.27096944
I-DL-DLHI-ENB-9757,28.64771111,77.28026944
I-DL-DLHI-ENB-4162,28.64823611,77.289875
I-DL-DLHI-ENB-4429,28.64837222,77.30598611
I-DL-DLHI-ENB-1765,28.64840278,77.302255
